angle_deg,hrp_current,hrp_original_rebuilt,abs_diff
-180.0,0.847708011777,0.847708011777,0.000000000000e+00
-179.0,0.841948272164,0.841948272164,1.110223024625e-16
-178.0,0.846445895539,0.846445895539,6.661338147751e-16
-177.0,0.842996833915,0.842996833915,2.220446049250e-16
-176.0,0.848587315334,0.848587315334,2.220446049250e-16
-175.0,0.844505270500,0.844505270500,1.110223024625e-16
-174.0,0.843404514769,0.843404514769,1.110223024625e-16
-173.0,0.844303858405,0.844303858405,1.110223024625e-16
-172.0,0.839430270086,0.839430270086,2.220446049250e-16
-171.0,0.831310297901,0.831310297901,0.000000000000e+00
-170.0,0.836712763016,0.836712763016,1.110223024625e-16
-169.0,0.844890544367,0.844890544367,1.110223024625e-16
-168.0,0.841416352710,0.841416352710,1.110223024625e-16
-167.0,0.835176895063,0.835176895063,2.220446049250e-16
-166.0,0.840769957900,0.840769957900,1.110223024625e-16
-165.0,0.840897265892,0.840897265892,0.000000000000e+00
-164.0,0.843031861266,0.843031861266,1.110223024625e-16
-163.0,0.832666581118,0.832666581118,2.220446049250e-16
-162.0,0.840782414382,0.840782414382,2.220446049250e-16
-161.0,0.842281706326,0.842281706326,3.330669073875e-16
-160.0,0.843725161550,0.843725161550,3.330669073875e-16
-159.0,0.848094054899,0.848094054899,2.220446049250e-16
-158.0,0.842722926644,0.842722926644,2.220446049250e-16
-157.0,0.852015383722,0.852015383722,3.330669073875e-16
-156.0,0.851902064661,0.851902064661,1.110223024625e-16
-155.0,0.848516998315,0.848516998315,0.000000000000e+00
-154.0,0.847544448337,0.847544448337,0.000000000000e+00
-153.0,0.847970387884,0.847970387884,3.330669073875e-16
-152.0,0.855917120689,0.855917120689,1.110223024625e-16
-151.0,0.857371512636,0.857371512636,0.000000000000e+00
-150.0,0.861539603042,0.861539603042,5.551115123126e-16
-149.0,0.863709548355,0.863709548355,0.000000000000e+00
-148.0,0.854608672559,0.854608672559,2.220446049250e-16
-147.0,0.865999528354,0.865999528354,1.110223024625e-16
-146.0,0.866710713892,0.866710713892,3.330669073875e-16
-145.0,0.864175929189,0.864175929189,0.000000000000e+00
-144.0,0.870279873666,0.870279873666,1.110223024625e-16
-143.0,0.872938410727,0.872938410727,0.000000000000e+00
-142.0,0.877683965662,0.877683965662,1.110223024625e-16
-141.0,0.876802015097,0.876802015097,0.000000000000e+00
-140.0,0.871872877153,0.871872877153,1.110223024625e-16
-139.0,0.881878833792,0.881878833792,1.110223024625e-16
-138.0,0.886484659898,0.886484659898,3.330669073875e-16
-137.0,0.878630006294,0.878630006294,3.330669073875e-16
-136.0,0.884977676964,0.884977676964,0.000000000000e+00
-135.0,0.874087440897,0.874087440897,3.330669073875e-16
-134.0,0.884842102128,0.884842102128,1.110223024625e-16
-133.0,0.880352133976,0.880352133976,1.110223024625e-16
-132.0,0.880231646084,0.880231646084,0.000000000000e+00
-131.0,0.879151185480,0.879151185480,2.220446049250e-16
-130.0,0.880400528360,0.880400528360,0.000000000000e+00
-129.0,0.884572318494,0.884572318494,1.110223024625e-16
-128.0,0.877870617132,0.877870617132,0.000000000000e+00
-127.0,0.877715220816,0.877715220816,1.110223024625e-16
-126.0,0.876016484084,0.876016484084,1.110223024625e-16
